px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
195.922	37.3774	2.4212	0.173805	0.225108	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.43328
195.721	37.3539	2.01189	0.116214	0.181665	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	4.43612
197.702	37.7244	2.17081	0.277038	0.165593	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.166877
197.604	37.708	1.98813	0.281203	0.171251	197.582	37.303	197.683	37.2395	1.81869	-0.159495	1.03166
199.34	37.3441	1.54514	-0.222805	-0.277379	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	2.86693
199.355	37.3595	1.64895	-0.19935	-0.243615	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.18616
201.449	36.9981	2.29523	-0.143402	-0.00825217	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	3.29322
201.233	36.9499	1.91612	-0.279293	-0.13757	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	4.94161
202.956	36.4519	1.92786	-0.308651	-0.0645713	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0489195
202.864	36.4301	1.70668	-0.384569	-0.155359	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	1.12822
204.039	36.1621	1.23231	-0.303261	-0.0129879	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	1.40304
203.978	36.1368	1.39538	-0.313548	0.0085893	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	2.22887
